algo,ep,mins,clusters,avg_cl_size,lrgst_cl_size,noise_size,silhouette,davies_bouldin
auto,2,10,2,1127.0,2244,0,0.15885036158403254,3.579618075059418
ball_tree,2,10,2,1127.0,2244,0,0.15885036158403254,3.579618075059418
kd_tree,2,10,2,1127.0,2244,0,0.15885036158403254,3.579618075059418
brute,2,10,2,1127.0,2244,0,0.15885036158403254,3.579618075059418
auto,2,20,4,498.75,1866,0,-0.07119673322823074,2.912895494682542
ball_tree,2,20,4,498.75,1866,0,-0.07119673322823074,2.912895494682542
kd_tree,2,20,4,498.75,1866,0,-0.07119673322823074,2.912895494682542
brute,2,20,4,498.75,1866,0,-0.07119673322823074,2.912895494682542
auto,2,50,4,323.5,639,0,-0.05229488420854174,2.903610849281763
ball_tree,2,50,4,323.5,639,0,-0.05229488420854174,2.903610849281763
kd_tree,2,50,4,323.5,639,0,-0.05229488420854174,2.903610849281763
brute,2,50,4,323.5,639,0,-0.05229488420854174,2.903610849281763
auto,3,1,156,19.506410256410255,2866,0,-0.08030749078564403,0.41545950959150046
ball_tree,3,1,156,19.506410256410255,2866,0,-0.08030749078564403,0.41545950959150046
kd_tree,3,1,156,19.506410256410255,2866,0,-0.08030749078564403,0.41545950959150046
brute,3,1,156,19.506410256410255,2866,0,-0.08030749078564403,0.41545950959150046
auto,3,5,2,1430.5,2852,0,0.42633977668694445,2.2514466365839536
ball_tree,3,5,2,1430.5,2852,0,0.42633977668694445,2.2514466365839536
kd_tree,3,5,2,1430.5,2852,0,0.42633977668694445,2.2514466365839536
brute,3,5,2,1430.5,2852,0,0.42633977668694445,2.2514466365839536
auto,3,10,1,2823.0,2823,0,,
ball_tree,3,10,1,2823.0,2823,0,,
kd_tree,3,10,1,2823.0,2823,0,,
brute,3,10,1,2823.0,2823,0,,
auto,3,20,1,2788.0,2788,0,,
ball_tree,3,20,1,2788.0,2788,0,,
kd_tree,3,20,1,2788.0,2788,0,,
brute,3,20,1,2788.0,2788,0,,
auto,3,50,1,2723.0,2723,0,,
ball_tree,3,50,1,2723.0,2723,0,,
kd_tree,3,50,1,2723.0,2723,0,,
brute,3,50,1,2723.0,2723,0,,
auto,4,1,80,38.0375,2953,0,0.1970747509113656,0.33999325529467306
ball_tree,4,1,80,38.0375,2953,0,0.1970747509113656,0.33999325529467306
kd_tree,4,1,80,38.0375,2953,0,0.1970747509113656,0.33999325529467306
brute,4,1,80,38.0375,2953,0,0.1970747509113656,0.33999325529467306
auto,4,5,1,2950.0,2950,0,,
ball_tree,4,5,1,2950.0,2950,0,,
kd_tree,4,5,1,2950.0,2950,0,,
brute,4,5,1,2950.0,2950,0,,
auto,4,10,1,2938.0,2938,0,,
ball_tree,4,10,1,2938.0,2938,0,,
kd_tree,4,10,1,2938.0,2938,0,,
brute,4,10,1,2938.0,2938,0,,
auto,4,20,1,2930.0,2930,0,,
ball_tree,4,20,1,2930.0,2930,0,,
kd_tree,4,20,1,2930.0,2930,0,,
brute,4,20,1,2930.0,2930,0,,
auto,4,50,1,2909.0,2909,0,,
ball_tree,4,50,1,2909.0,2909,0,,
kd_tree,4,50,1,2909.0,2909,0,,
brute,4,50,1,2909.0,2909,0,,
auto,5,1,54,56.351851851851855,2970,0,0.27617127341690034,0.37324272351716564
ball_tree,5,1,54,56.351851851851855,2970,0,0.27617127341690034,0.37324272351716564
